,상품명,가격,상품평 수
39,"곰곰 2019년 소중한 우리 쌀, 10kg, 1개",25850,58414
40,"농협 당도선별 성주 참외 박스, 2kg(5~8과), 1박스",14500,2994
41,"곰곰 노르웨이 간고등어살 1kg, 1개",11380,3886
42,"프레시지 더큰 밀푀유 나베, 965g, 1개",13900,6307
43,"곰곰 하남식쭈꾸미 보통매운맛 (냉동), 450g, 1개",9990,2286
44,"제주 탐사수, 2L, 6개",5100,1661
45,"곰곰 무항생제 신선한 대란, 30구, 1개",4790,4038
46,"제주 삼다수, 500ml, 40개",14620,20889
47,"맑은물에 국산콩 100% 촌두부, 300g, 2개",3980,19704
48,"파프리카 혼합, 1봉",1700,1738
49,"종근당건강 락토핏 생유산균 골드, 100g, 3개",30460,28479
50,"포항시 인증 구룡포 반건 오징어 5미 (냉동), 500g, 1개",21500,2748
51,"모아미트 보리먹인 암퇘지 삼겹살 구이용 (냉장), 1kg, 1개",17400,1921
52,"곰곰 단백질바, 50g, 12개입",11790,3220
53,"곰곰 고당도 수박, 7kg미만, 1통",13490,288
54,"집으로온 에어프라이어 한입돈까스 (냉동), 900g, 1개",10900,781
55,"스타벅스 대용량 카페 라떼, 270ml, 10개",17890,5393
56,"크리스피크림도넛 오리지널 글레이즈드, 47g, 6개",7800,952
57,"서울우유 더 진한 플레인 요거트 당무첨가, 1800ml, 1개",6500,3615
58,"GAP 인증 추부깻잎, 1봉",1020,2305
59,"곰곰 당도선별 세척사과, 2kg, 1박스",14300,14253
60,"남양유업 떠먹는 불가리스 세트, 딸기 85g x 6p + 포도 85g x 2p + 복숭아 85g x 2p, 1세트",4890,5306
61,"GAP 인증 귤림원 당도선별 하우스감귤, 3kg, 1개",36900,2562
62,"곰곰 무연골 대패 삼겹살 (냉동), 500g, 3개",17790,8426
63,"고래사어묵 국탕용종합, 450g, 2봉",13900,1562
64,"곰곰 아삭한 콩나물, 500g, 1봉",1880,3432
65,"삼립 아침엔 우유토스트 식빵, 330g, 2개",3960,15705
66,"파스퇴르 냉장 발렌시아 오렌지, 2.3L, 1개",5380,7452
67,"푸른초원 자연우유, 2300ml, 1개",4580,2237
68,"한성기업 프리미엄 김밥세트 S, 440g, 1세트",6860,5591
69,"CJ제일제당 햄스빌 베이컨, 160g, 2개입",6760,3679
70,"삼립 리얼 후레쉬 치즈케익 10개입, 700g, 1개",7980,4289
71,"곰곰 호주산 소고기 안창살 구이용 (냉장), 300g, 1개",12300,1206
72,"칼집 돼지왕구이, 1kg, 1개",12900,245
73,"충남오감 예산농협 GAP 인증 미니찰 대추방울토마토, 2kg, 1개",14900,633
74,"동원샘물 미네마인, 2L, 12개",6800,237382
75,"모아미트 보리먹인 암퇘지 목살 구이용 (냉장), 1kg, 1개",16400,1868
76,"곰곰 새우 볶음밥 (냉동), 300g, 6개",10220,3755
77,"고메 바삭튀겨낸 꼬마돈카츠 (냉동), 1200g, 1개",10580,7547
78,"기다린 빠네 크림 파스타, 968g, 1개",9900,1468
79,"동원에프앤비 비엔나소시지, 1kg, 1개",8980,6197
80,"곰곰 블루베리 (냉동), 1kg, 1개",7340,4191
81,"삼진어묵 옛날모듬어묵, 1000g, 1개",9990,4282
82,"국내산 절단대파, 500g, 1봉",2230,12183
83,"곰곰 광천 도시락김, 5g, 32개입",7010,10345
84,"삼진어묵 떡말이, 310g, 2개",7540,1007
85,"곰곰 건강한 밥 도시락 시즌2 (냉동), 250g, 6개",18490,1178
86,"GAP 인증 완숙 토마토, 4kg, 1박스",9960,6200
87,"곰곰 무항생제 신선한 왕란 15구, 1개",3080,2395
88,"자연애찬 자연愛란 무항생제 인증 특란 30구, 1800g, 1개",5980,29169
89,"하림 에어프라이어 순살치킨 (냉동), 1000g, 1개",13500,3632
90,"숙성 연어회, 150g, 1개",10200,889
91,"비비고 소고기 장조림, 125g, 3개",8940,1073
92,"곰곰 고소한 검은콩 칼슘 두유, 190ml, 24개",8310,6253
93,"플레잇 프렌치드 램 숄더랙 (냉동), 500g, 1개",21900,255
94,"채소믹스, 1kg, 1팩",9900,6201
95,"오모가리 수제 김치찌개 (냉동), 500g, 2개",9200,922
96,"피그인더가든 데일리믹스 샐러드 KIT 630g, 1개",8900,3328
97,"삼립 끼리 진한 크림치즈 롤케익, 110g, 3개",9900,893
98,"신라명과 인생식빵, 420g, 1개",6500,5150
99,"곰곰 훈제 오리 슬라이스, 400g, 1개",7990,509
100,"친환경 인증 느타리버섯, 500g, 1팩",2010,8041
101,"밀양 청양고추, 1봉",1380,1070
102,"마니커에프앤지 바사삭치킨 한마리 12조각 (냉동), 500g, 2개입",12900,6187
103,"돌 스위티오 바나나, 1.5kg, 1개",5300,4955
104,"알배기, 450g, 1개",1980,1945
105,"요리락 양념 소불고기 (냉장), 1kg, 1개",15990,9034
106,"느영나영 머스크멜론, 1.6kg, 1개",12900,74
107,"도드람한돈 1등급삼겹살 구이용 (냉장), 800g, 1팩",16900,7365
108,"요플레 오프룻 딸기&알로에, 180ml, 10개",11120,116
109,"우리아이 순살 연어 (냉동), 800g, 1개",16500,254
110,"제주 삼다수, 2L, 12개",11260,97444
111,"하림 자연실록 무항생제 닭 볶음용 (냉장), 1kg, 1개",5400,5984
112,"씨없는 적포도, 1.8kg, 1팩",9980,2978
113,"불맛 제육볶음 (냉동), 400g, 2개입",8900,7088
114,"신라명과 단팥빵, 90g, 6개",9500,881
115,"국내산 양배추, 1.5kg 이상, 1통",1980,4368
116,"풀무원 1등급 국산 무농약 콩나물, 340g, 1개",2260,3826
117,"곰곰 한입 떡갈비, 564g, 1개",6610,325
118,"호주산 소고기 척롤 불고기용 (냉장), 400g, 1개",8980,975
119,"미래원 리코타치즈 샐러드, 160g, 2개",8300,6700
120,"매일우유 오리지널, 2.3L, 1개",5380,10665
121,"곰곰 팝콘치킨, 1000g, 1개",6300,461
122,"gomgom 한돈 1등급 삼겹살 (냉장), 1kg, 1개",23490,299
123,"곰곰 돌돌말이 무연골 대패 삼겹살 (냉동), 1kg, 1개",11400,117
124,"더건강한 샌드위치햄, 100g, 3개",5900,3587
125,"서울우유 더 진한 플레인 요거트, 1800ml, 1개",6460,8560
126,"청경채, 1팩",1180,1542
127,"남양유업 요구르트, 65ml, 20개입",2360,7514
128,"프레시지 더큰 블랙라벨 스테이크 세트, 580g, 1개",13900,6871
129,"후레쉬컷 샐러드, 300g, 2개",7960,266
130,"테이스티 비빔밥 세트, 350g, 1개",13000,2035
131,"곰곰 국내산 제육 볶음 (냉장), 400g, 2개",8600,114
132,"곰곰 신선한 우유, 2.3L, 1개",4480,1989
133,"곰곰 고추무침 (냉장), 1kg, 1개",4900,1407
134,"굽네 갈비천왕 치밥 (냉동), 200g, 7개",14170,2149
135,"굽네 소스가 맛잇는 닭가슴살 슬라이스 화이트머쉬룸 120g x 4p + 레드크림커리 120g x 4p + 스파이시커리 120g x 4p 세트 (냉동), 1세트",27450,421
136,"프레시밀 투움바파스타, 630g, 1팩",9900,381
137,"서울우유 짜먹는 요구르트 짜요짜요 딸기 6개입, 40g, 2개",3060,4317
138,"서울우유 목장의 신선함이 살아있는 우유, 1000ml, 1개",2930,11818
139,"몽베스트 생수, 330ml, 20개입",5500,36740
140,"마니커 닭다리살 (냉장) 600g, 1개",9990,233
141,"국내산 무, 900g이상, 1개",1350,7708
142,"플레잇 베이커리 크림치즈 프레즐 (냉동), 100g, 8개",13900,814
143,"GAP 인증 당도선별 성주월항 참외, 2kg(5~9입), 1박스",14750,853
144,"곰곰 신선한 저지방우유, 1000ml, 2개",4660,1615
145,"모닝하임 신임꺽정 납작 떡갈비 (냉동), 1000g, 1개",10900,3316
146,"곰곰 바닐라 아이스크림, 474ml, 4개",7890,667
147,"곰곰 토마토, 1kg, 1팩",3980,2683
148,"곰곰 맥반석 구운란 30구, 1050g, 1개",9600,757
149,"GAP 인증 시금치, 1봉",1480,322
150,"파스퇴르 건강한 저온살균 우유 후레쉬, 2.3L, 1개",5880,12934
151,"곰곰 GAP 인증 제주 당도선별 하우스감귤, 500g, 1팩",7490,4033
152,"곰곰 호주산 소고기 토시살 300g (냉장), 1개",11100,178
153,"곰곰 무말랭이 무침 (냉장), 1kg, 1개",4990,1218
154,"소와나무 쿨피스 복숭아, 930ml, 3개",2820,792
155,"곰곰 떡볶이 옛날맛 (냉동), 560g, 3개",12330,3333
156,"국내산 흙당근, 1kg, 1봉",3480,4044
