,상품명,가격,상품평 수
390,"켈로그 리얼 그래놀라 오리지널 시리얼, 400g, 1개",5630,6091
391,"삼립 추억의 옛날 꿀호떡, 1120g, 1개",5570,2160
392,"웰프레쉬 블루베리 (냉동), 1.3kg, 2개",16800,1960
393,"프레시지 우삼겹 순두부찌개, 605g, 1개",7000,5876
394,"성주 노란 미니참외, 2.5kg(13~18입), 1봉",15400,72
395,"팔도비빔면 130g, 5개",3120,15716
396,"보뚜 저분자 콜라겐 비타민C, 2g, 90포",19690,3758
397,"무항생제 인증 마니커 닭볶음탕용 닭고기 (냉장), 1.3kg, 1개",6470,154
398,"매일유업 바리스타룰스 싱글오리진 코스타리카 커피, 330ml, 12개",12400,621
399,"반찬단지 꽈리고추를 넣어 맛있는 메추리알 장조림, 1kg, 1개",6860,5689
400,"곰곰 썰은 배추김치, 10kg, 1개",14290,1091
401,"마이산 맥반석 구운란 30구, 900g, 1개",9700,39872
402,"롯데제과 ABC초코쿠키, 38g, 4개",2020,3578
403,"오레오 미니오레오 바닐라, 20.4g, 10개입",3200,6772
404,"포카리스웨트, 340ml, 20개",11220,41236
405,"곰곰 1등급 훈제 오리 슬라이스 (냉장), 500g, 1개",6990,39
406,"곰곰 국내산 양념 돼지 갈비 (냉장), 1kg, 1개",11990,542
407,"추억의 옛날 삼겹살 (냉동), 800g, 1개",12300,847
408,"버터와플, 237g, 1개",3370,1770
409,"추억의 국민학교 떡볶이 오리지널 (냉동), 600g, 2개",9320,8841
410,"곰곰 햄야채볶음밥 (냉동), 300g, 10개",13300,3108
411,"리코타치즈 160g + 닭가슴살 샐러드 160g, 1세트",7800,791
412,"동원에프앤비 체다치즈 클래식, 204g, 1개",1980,1946
413,"사미헌 갈비탕 (냉동), 1kg, 1개",11000,1178
414,"곰곰 방울토마토, 2kg, 1개",11000,1648
415,"포테이토 크리스프 스낵 바베큐맛 20g x 50p + 사워크림맛 20g x 50p, 1세트",11400,164
416,"곰곰 닭가슴살 6종 (냉동), 1세트",9790,65
417,"매일우유 저지방2% 우유, 900ml, 1개",2390,1239
418,"제스프리 그린키위 개별, 82~93g 내외, 18개",9900,731
419,"GAP 인증 세지 멜론, 1.6kg, 1개",15500,438
420,"남양유업 불가리스 위쎈 요구르트, 150ml, 8개입",6730,579
421,"상하목장 유기농인증 베이비 요구르트, 플레인, 4개입",2100,2111
422,"동서 크림 앤 바닐라향 페이스트리 생지 (냉동), 135g, 5개",13580,10
423,"대삼민속식품 참고구마스틱, 500g, 1개",5900,3903
424,"볶음밥용 모둠채소, 1kg, 1팩",9900,1378
425,"삼진어묵 천오란다, 130g, 4개",6600,1058
426,"농심 신라면 건면 97g, 5개",3300,712
427,"매일유업 99.89 매일두유 190ml, 24개",10960,18093
428,"꼬북칩 미니, 30g, 12개",6400,1286
429,"곰곰 2019년 소중한 우리 쌀 전라미, 5kg, 1개",15390,5815
430,"마이디벨 벨기에 해쉬브라운패티 (냉동), 640g, 3개",10600,2049
431,"풀무원 얇은피 꽉찬속 김치만두 (냉동), 1kg, 1개",9900,6482
432,"삼립 소프트 치즈케익 미니 10개입, 400g, 1개",5870,2077
433,"통 샐러리, 500g, 1봉",1730,1395
434,"리치 오트밀 미니바이트 스낵, 250g, 4개",8450,378
435,"농심 신라면 120g x 5p + 안성탕면 125g x 5p + 얼큰 너구리 120g x 5p + 짜파게티 140g x 5p, 1세트",14200,38492
436,"깐마늘, 800g, 1봉",4760,3725
437,"동원 라이트 스탠다드 참치, 85g, 12개",15020,281
438,"프레시지 더큰 마라탕, 660g, 1개",13900,1207
439,"생생포크 돼지앞다리 불고기용 (냉장), 1000g, 1개",15100,520
440,"곰곰 건강한 샐러드 도시락 (냉동), 190g, 6개입",17000,1794
441,"레쓰비 마일드 커피, 160ml, 30개입",8280,31466
442,"누리웰 동물복지 백색유정란 20구, 1040g, 1개",8770,850
443,"서울우유 비요뜨 크런치볼 요거트, 143g, 12개",12040,2112
444,"어린잎과 새싹채소, 300g, 1팩",3480,627
445,"비비고 삼치구이, 60g, 3팩",8830,243
446,"미래원 양배추와 적채믹스, 300g, 1팩",2970,3528
447,"쭈꾸미 사령부 매운맛 (냉동), 600g, 1개",13800,1892
448,"프레시지 더큰 호로록 우삼겹 떡볶이, 835g, 1개",12900,1451
449,"벨지오이오조 부라타, 226g, 1개",13840,240
450,"오예스 미니, 16g, 48개",7480,47
451,"꽈리고추, 1봉",1280,323
452,"곰곰 미국산 시즈닝 부채살 스테이크 (냉장), 400g, 1개",10990,47
453,"롯데제과 셀렉션 아이스크림 10개입 (냉동), 500ml, 2개",7380,926
454,"곰곰 간장버터 새우볶음밥 (냉동), 230g, 6개",10300,252
455,"매일유업 저지방 1% 멸균 우유, 200ml, 24팩",10110,32975
456,"쟌슨빌 오리지날 스모크 소시지 (냉동), 1.81kg, 1개",24350,707
457,"깐쪽파, 500g, 1봉",6360,2509
458,"사랑해어 국산 손질 오징어 (냉동), 1kg, 1개",18900,559
459,"삼립 골든버터식빵, 420g, 2개",7900,1461
460,"요플레 플레인 화이트, 900g, 1개",4690,3836
461,"포스트 아몬드후레이크620g, 620g, 1개",5440,8887
462,"후디스 그릭요거트 무설탕 저지방, 450g, 1개",4710,1412
463,"웰치스 후르츠믹스 젤리, 25.5g, 30개입",8820,42
464,"집으로ON 어린이순살생선 고등어구이 (냉동), 30g, 6개",8900,157
465,"주스용 비트, 1kg, 1봉",2780,117
466,"상하목장 유기농인증 플레인 400g, 1개",2300,1967
467,"곰곰 김자반, 70g, 4개입",7420,1374
468,"곰곰 동물복지 유정란 20구, 1040g, 1개",8390,584
469,"카누 미니 마일드 로스트 아메리카노, 0.9g, 90개",13740,9727
470,"오뚜기 옛날잡채 멀티 75g, 4개",4410,274
471,"맥심 모카골드 마일드 커피믹스, 12g, 160개",17200,30055
472,"곰곰 한돈 앞다리 불고기용 (냉장), 500g, 1개",5990,198
473,"프레시밀 샤브샤브재료, 900g, 1팩",9900,827
474,"성주 노란참외, 3kg(8~15입), 1봉",18210,84
475,"청우식품 쫀득초코칩, 240g, 1개",3120,190
476,"곰곰 곤드레 볶음밥 (냉동), 250g, 6개",11020,1409
477,"농협 고당도 논산수박, 8kg 미만, 1통",16900,63
478,"피크닉 사과 주스, 200ml, 24개",6300,5294
479,"매일우유 저지방 1% 우유, 900ml, 2개",4880,1198
480,"곰곰 닭갈비볶음밥 (냉동), 300g, 6개",12630,134
481,"롯데제과 티코 밀크초코 아이스크림 15개입 (냉동), 510ml, 2개",7800,4166
482,"돌 망고컵, 198g, 6개입",10080,3064
483,"디엔비 글레이즈드 도넛 (냉동), 50g, 10개입",7980,617
484,"파스퇴르 저온살균 우유, 930ml, 1개",3300,1760
485,"GAP 스위텔 대추방울토마토, 1kg, 1팩",7960,348
486,"청정원 소시지랑 떡이랑 (냉동), 440g, 1개",7070,789
487,"마니커 닭윗날개 (냉장) 600g, 1개",8990,188
488,"곰곰 스낵믹스 파티팩 4종, 20입",7290,219
489,"남양유업 맛있는우유GT 고소한 락토프리, 900ml, 2개",4980,1378
490,"김구원선생 무농약인증 으로 만든 연두부 8개입, 1064g, 1개",12400,379
491,"빙그레 투게더 오리지널 바닐라 아이스크림 (냉동), 900ml, 2개",9600,3017
492,"삼립 정통 크림빵 8개입, 600g, 1개",6000,1983
493,"도드람한돈 1등급 칼집 삼겹살 구이용 (냉장), 1kg, 1개",25500,131
494,"동원에프앤비 미니 돈까스 (냉동), 1kg, 1개",5480,3507
495,"다향오리 1등급 훈제 오리 슬라이스, 600g, 1개",8500,3400
496,"종근당 프리바이오틱스 프락토올리고당 FOS 유산균 30p, 3개",30350,14280
497,"대림선 부산 어묵 마당놀이2, 1000g, 1개",5000,788
498,"생생포크 앞다리살 수육용 (냉장), 1000g, 1개",15900,1176
499,"스팸 클래식 200g x 3p + 마일드 200g x 3p, 1세트",13000,4014
500,"게메즈 에낙 라면 과자, 720g, 1개",8500,12403
501,"곰곰 크리스피 모짜렐라 핫도그 (냉동), 595g, 1개",7890,745
502,"아이시스 생수 랜덤발송, 2L, 12개",8040,6922
503,"네떼 더 케이준 치킨 샐러드, 180g, 2개",7000,1937
504,"바이오플레 요구르트 사과, 140ml, 8개입",2490,5837
505,"곰곰 구운 아몬드, 1kg, 1개",13780,2887
506,"CJ씨푸드 한입사각유부초밥, 400g, 1개",3920,356
507,"곰곰 한입 돈까스 (냉동), 1kg, 1개",5380,65
508,"밀양 오이맛고추, 1봉",1680,564
509,"돌 복숭아컵, 198g, 6개입",10080,2350
510,"베베토 미니 베어 젤리, 980g, 1개",8870,8567
511,"삼립 허니버터브레드 (냉동), 1450g, 1개",12160,1378
512,"동원에프앤비 통그릴비엔나, 360g, 2개입",5300,1975
513,"오뚜기 불고기 피자 (냉동), 396g, 3개",12370,1470
514,"피그인더가든 고구마 그래놀라 볼 샐러드, 165g, 2개",8800,567
515,"빅토리아 히비스커스 탄산수, 500ml, 20개",10460,31
516,"친환경인증 미니새송이 버섯, 600g, 1팩",2900,2622
517,"상하치즈 유기농인증 아기치즈 영양균형 2단계 10매입, 1개",3300,1258
518,"해표카놀라유 900ml, 2개",5600,202
519,"블루다이아몬드 아몬드 브리즈 오리지널, 190ml, 24개",11810,38849
520,"오리온 초코파이 정 39g x 12p + 카스타드 23g x 12p, 1세트",8500,936
521,"비비고 물만두 (냉동), 370g, 2개입",7480,2840
522,"곰곰 리코타 치즈 170g + 닭 가슴살 샐러드 165g, 1세트",7700,62
523,"G7 블랙 퓨어블랙 인스턴트커피, 2g, 100개",6510,39635
524,"신라명과 달보드레 카스테라, 35g, 16개",16900,296
525,"곰곰 순대국, 600g, 5개",13220,3694
526,"대림선 크라비아, 1000g, 1개",9730,479
527,"코바코 고기폭탄 육개장 (냉동), 600g, 4개",19600,287
528,"고메 베이커리 크로와상 (냉동), 330g, 1개",6640,57
529,"신라명과 플레인 모닝롤F (냉동), 26g, 20개입",6980,3112
530,"동원에프앤비 추억의 부산어묵 쫄깃사각 30장, 990g, 1개",3190,5108
531,"종근당건강 알티지 오메가3, 60정, 1개",15080,848
532,"딸기 (냉동), 1kg, 2봉",10400,627
533,"곰곰 직화 무뼈 닭발 (냉동), 160g, 3개",13200,1411
534,"곰곰 친환경 깐마늘, 1개",2030,49
535,"국내산 부추, 1봉",1080,296
536,"앙트레 쿠킹박스 간편한식 우렁강된장, 670g, 1개",10400,80
537,"앙트레 쿠킹박스 간편한식 눈꽃치즈닭갈비, 750g, 1개",12530,95
538,"무항생제 인증 햇살계란 친환경 특란 20구, 1200g, 1개",5990,141
539,"마이셰프 든든한 장어구이, 350g, 1개",16900,707
540,"돌 스위티오 파인애플컵, 198g, 6개입",10080,2138
541,"샐러드미인 단호박샐러드, 1kg, 1개",6400,1263
542,"농심 안성탕면 125g, 5개",2750,5615
543,"미국산 프라임 척아이롤 구이용 (냉장), 500g, 1개",14960,384
544,"고메 치킨 순살크리스피 (냉동), 550g, 1개",6920,1120
545,"동원에프앤비 살코기 동원참치 라이트 스탠다드, 100g, 3개입",4400,46212
546,"국내산 미니 파프리카 혼합, 500g, 1봉",9100,1174
547,"이가자연면 투움바 파스타, 179.5g, 6개입",11480,4973
548,"필리핀 망고 4개입, 920g, 1팩",11900,1181
549,"모아미트 보리먹인 캐나다산 삼겹살 에어프라이어용 (냉장), 1200g, 1개",21500,216
550,"비비고 군만두 (냉동), 450g, 2개입",7940,2328
551,"쟈뎅 시그니처 로얄 헤이즐넛 커피음료, 1.1L, 6개",13330,1083
552,"웅진 빅토리아 탄산수 플레인, 500ml, 20개",10520,33410
553,"종가집 포기김치, 4kg, 1개",23650,3485
554,"농심 육개장사발면 86gx24개(한박스), 24개",14010,43143
555,"풀무원 한끼 연두부 + 참깨 흑임자 소스, 120g, 6개",9600,495
556,"프레시지 쉬림프 로제 파스타, 600g, 1개",9020,2212
557,"썬키스트 레몬, 1.8kg (13~19입), 1봉",13500,1177
558,"쿠팡 브랜드 - 탐사 스파클링 제주한라봉, 350ml, 20개",9200,158
559,"액티비아 병 딸기 x 4p + 블루베리 x 4p 세트, 130ml, 8병",5870,1470
560,"풀무원 아임리얼 수박 주스, 700ml, 1개",8480,483
561,"나뚜루 스트로베리 치즈케익 아이스크림 (냉동), 474ml, 1개",5250,88
562,"팜에이트 친환경 시즈널 샐러드, 550g, 1봉",5990,59
563,"돌 에콰도르산 바나나, 2.2kg, 1개",7000,170
564,"비비고 김치왕교자 (냉동), 420g, 2개입",6380,3543
565,"참연담소 세절 국거리용 (냉장), 300g, 1개",13900,17
566,"오젠 훈제 연어 슬라이스 (냉동), 1kg, 1개",23590,1155
567,"GAP 인증 국내산 깐마늘, 300g, 1봉",2900,1859
568,"켈로그 크랜베리 아몬드 그래놀라, 550g, 1개",5830,14389
569,"무농약인증 후레쉬가든 샐러드, 250g, 1개",3480,2642
570,"곰곰 유기농쌀 떡뻥 세트 6개, 백미, 고구마, 단호박, 1세트",11090,1494
571,"오뚜기 콤비네이션 피자 (냉동), 415g, 3개",13470,575
572,"풀무원 다논 그릭 요거트 달지않은 플레인, 95g, 8개",5670,247
573,"YAAM(얌)! 치폴레 피자 바게뜨 (냉동), 142g, 3개",7900,58
574,"곰곰 한돈 1등급 목살 (냉장), 1kg, 1개",23500,556
575,"상하목장 슬로우밀크 63저온, 930ml, 1개",2980,1431
576,"곰곰 바쏘 엑스트라버진 올리브오일, 1L, 1개",9990,472
577,"마니커에프앤지 핫스파이스윙골드 (냉동), 1kg, 1개",10500,2015
578,"귤림원 GAP 인증 당도선별 하우스감귤, 800g, 1팩",11900,12
579,"마이셰프 스페인 감바스알아히요 & 파스타, 741g, 1개",13900,1283
580,"롯데제과 크런키볼 초콜렛 파우치, 32g, 12개",8080,372
581,"꿀맛나는세상 매실in양념 소불고기 (냉동), 300g, 3팩",13900,2499
582,"친환경 어린잎채소, 150g, 1봉",2500,392
583,"곰곰 뉴질랜드 단호박, 2개",3230,115
584,"누리웰 깐메추리알, 500g, 1개",3830,3505
585,"스팸 클래식 200g x 3p + 마일드 200g, 클래식 200g x 3개 + 마일드 200g, 1세트",9000,3086
586,"파스퇴르 소화가 잘되는 유산균우유, 900ml, 1개",2890,1996
587,"GAP 인증 의성 사과, 3kg, 1박스",19700,1096
588,"후디스 그릭요거트 플레인, 450g, 1개",4450,1057
589,"고메 포테이토치즈 핫도그 (냉동), 400g, 1개",7000,806
590,"맨치트 플레이 쿠키 (냉동), 420g, 2개",10000,1369
591,"친환경인증 청양고추, 300g, 1봉",3550,5289
592,"상하목장 유기농 우유, 190ml, 24개입",17710,56581
593,"마이셰프 알찬 오색 월남쌈, 831g, 1개",15900,242
594,"삼진어묵 도톰한 사각어묵, 390g, 1개",2610,153
595,"곰곰 친환경 양배추, 1개",2990,45
596,"제스프리 그린 키위, 130g 내외(특점보), 12개입",10900,416
597,"빙그레 더엑설런트 오리지널 아이스크림 (냉동), 800ml, 2개",8900,1652
598,"도드람한돈 등심꽃살 구이용 (냉장), 600g, 1개",7690,94
599,"쫀득하고 맛있고 탱탱한 구운란 30구, 1350g, 1개",10700,177
600,"프레지덩 무염버터팩, 400g, 1개",7600,2508
601,"곰곰 꽈리고추가 들어간 메추리알 장조림 (냉장), 1kg, 1개",6610,145
602,"씨 없는 적포도, 2.3kg, 1팩",16860,175
603,"6다이닝 호주산 곡물 소갈비살 (냉동), 300g, 2개",19000,504
604,"다향오리 무항생제 훈제슬라이스 오리, 180g, 3개",9900,304
605,"맑은물에 국산 콩비지, 400g, 2개",6000,267
606,"곰곰 소중한 우리쌀 현미밥, 210g, 24개",20990,95
607,"한우물 새우볶음밥 (냉동), 300g, 6개",10370,7374
608,"어린잎 채소믹스, 200g, 1팩",3330,1971
609,"하림 팝콘치킨 (냉동), 1000g, 1개",7500,3141
610,"곰곰 시리얼바 현미 초콜릿, 25g, 12개입",8550,2557
611,"비비고 사골곰탕, 500g, 18개",15920,14354
612,"켈로그 콘푸로스트 시리얼, 660g, 1개",4440,33861
613,"자연애찬 반숙이 반숙계란 20구, 1000g, 1개",8990,9812
614,"죠리퐁 마시멜로, 35g, 18개",16000,333
615,"곰곰 한돈 뒷다리살 불고기용 1000g (냉장), 1개",8600,162
616,"쉐푸드 시저치킨랩 샌드위치, 716g, 1팩",10900,83
617,"해태 고향만두 (냉동), 2kg, 1개",11260,7222
618,"YAAM(얌)! 머쉬룸 치즈빠네 (냉동), 130g, 2개",5900,47
619,"덴마크 인포켓치즈 오리지널, 20g, 10개입",6100,1924
620,"장충동왕족발 찰순대, 1kg, 1개",5700,1156
621,"스미후루 스위트마운틴 바나나, 1.5kg내외, 1개",5000,2209
622,"삼진어묵 삼각당면, 330g, 2개",9400,267
623,"친환경인증 만가닥버섯, 150g, 1팩",850,320
624,"상하목장 YO베이비 2단계 딸기 바나나 요구르트, 85g, 4개입",2400,1304
625,"쿠팡 브랜드 - 탐사 스파클링 플레인 탄산수, 500ml, 20개",10220,11605
626,"삼립 허니 카스테라 4개입, 620g, 1개",9190,841
627,"오뚜기 토마토케찹800g 케찹, 800g, 1개",2660,18944
628,"하림 용가리치킨 (냉동), 850g, 1개",12800,1618
629,"오레오 오리지널, 28.5g, 13개입",3250,615
630,"요플레 플레인 멀티 85g, 4개입",1550,1302
631,"GAP 인증 오이 3개입, 300g 이상, 1봉",2230,4929
632,"프레시밀 애호박 된장찌개, 900g, 1팩",6790,1207
633,"올품 닭가슴살 IQF (냉동), 2kg, 1개",10070,2435
634,"특허받은 꿀맛칼집 양념구이 (냉동), 400g, 3팩",10900,1799
635,"빙그레 국가대표 아이스크림세트 비비빅 70ml + 메로나 75ml (냉동), 10세트",8800,309
636,"곰곰 아몬드와 호두 두유, 190ml, 24개입",7990,992
637,"곰곰 쓰지않고 부드러운 아메리카노 다크로스트, 1g, 100개입",9240,1916
638,"롯데제과 드림카카오 82% 폴리페놀 초콜릿, 86g, 6개입",9500,1598
639,"제주 삼다수, 2L, 18개",16890,23655
640,"토이쿠키 만들기 숲속 동물들 생일파티 (냉동), 1세트, 6종 컬러 반죽 + 모양틀 + 선물용봉투",7980,3945
641,"국내산 양송이 버섯, 300g, 1팩",4970,1437
642,"컷팅 부추, 1팩",1200,147
643,"친환경인증 표고버섯, 300g, 1팩",4530,1004
644,"참치김밥 3줄, 1041g, 1개",10900,96
645,"풍요한아침 짜먹는 에그샐러드 플레인, 1kg, 1개",10640,2606
646,"호주산 모듬 다짐육 (냉장), 300g, 1개",6620,1421
647,"서울우유 저지방우유, 2300ml, 1개",6030,7348
648,"맥케인 케이준 시즌드 베터드 양념감자 (냉동), 2kg, 1개",7830,4863
649,"웅진 하늘보리차, 500ml, 20개입",11810,17310
650,"생가득 새콤달콤 유부초밥 4인분, 330g, 1개",3480,1949
651,"맥심 모카골드 마일드 커피믹스 12g x 320p + 화이트골드 커피믹스 11.7g x 20p, 1세트",36200,3469
652,"친환경인증 깐마늘, 200g, 1봉",2080,1230
653,"피그인더가든 콥 볼샐러드, 175g, 2개",9180,847
654,"고사리, 300g, 1봉",7180,446
655,"집으로온 부대짜글이 (냉동), 400g, 2개",8930,186
656,"곰곰 오징어 슬라이스 대용량, 400g, 1개",19080,696
657,"서울우유 짜먹는 요구르트 짜요짜요 복숭아 6개입, 240g, 2개",3060,1714
658,"요플레 요거트 10개입 세트, 1세트",5800,3376
659,"곰곰 국내산 깐마늘, 500g, 1개",3640,520
660,"수지스 그릴드 닭가슴살, 550g, 1개",8800,196
661,"곰곰 간편한 미숫가루 스틱, 24g, 50개",10820,1090
662,"빙그레 그라시아 쿠앤크 아이스크림 (냉동), 710ml, 2개",7600,1716
663,"탐스팜 군옥수수맛 아몬드, 210g, 2개",8700,813
664,"광동제약 비타500 칼슘 음료, 100ml, 20개입",9010,457
665,"창녕 깐마늘, 500g, 1봉",3690,2373
666,"페이장브르통 빼띠 무염버터, 200g, 1개",6700,1307
667,"청년떡집 마약떡 (냉동), 40g, 15개",14900,582
668,"모아미트 돈삼겹살 (냉동), 1kg, 1개",11900,7323
669,"곰곰 소 불고기 (냉동), 1kg, 1개",13700,834
670,"고메 바삭 튀겨낸 통등심 돈카츠 (냉동), 450g, 1개",6790,934
671,"일가집 프리미엄 더 맛있는 김밥세트, 525g, 1세트",8780,1318
672,"교토마블 플레인 데니쉬 식빵, 468g, 1개",7200,64
673,"크라운 참쌀설병, 128g, 1개",1910,7688
674,"아침에주스 포도주스, 950ml, 2개",5860,2607
675,"GAP 인증 프레샤인 당도선별 CA저장 충주사과, 3kg(6~10입), 1박스",23900,19
676,"삼립 리얼 미니 생크림 파운드 20개입, 720g, 1개",10070,1095
677,"남양유업 맛있는우유GT 슈퍼밀크, 900ml, 2개",4890,667
678,"쿠팡 브랜드 - 탐사 사이다, 210ml, 30개",8050,1233
679,"곰곰 춘천식 닭갈비 (냉장), 1kg, 1개",11700,282
680,"해태제과 구운감자, 27g, 15개",6980,12346
681,"농심 얼큰한 너구리 120g, 5개",3470,21588
682,"국내산 시금치, 600g, 1봉",2960,4867
683,"미니 아스파라거스, 100g, 1팩",4480,168
684,"곰곰 장충동식 찰순대, 1kg, 1개",5600,75
685,"말리 코코넛워터, 330ml, 12개",15420,71
686,"상하목장 마시는 유기농인증 요구르트, 80ml, 15개입",5100,2246
687,"덴마크 자연방목 유기가공식품인증 짜지않은 아기치즈 1 10개입, 170g, 1개",3650,553
688,"GAP 인증 양송이버섯, 1팩",3460,399
689,"크라운 참쌀선과, 115g, 1개",2210,2389
690,"프렌치카페 로스터리 옐로우 버번 돌체 라떼, 250ml, 10개",10450,2241
691,"몽쉘 생크림 오리지널 32g x 12p + 카카오 32g x 6p + 딸기 32g x 6p, 생크림 2p + 카카오 + 딸기, 1세트",8800,3857
692,"집으로온 돼지고기 듬뿍 김치짜글이 (냉동), 400g, 1개",4580,1575
693,"봄내푸드 춘천닭갈비 (냉동), 1kg, 2팩",19800,17027
694,"쉐푸드 불고기 월남쌈, 586g, 1개",10900,89
695,"그린몬스터 다이어트 스폐셜2 가르시니아900 8주분, 112정, 1개",11880,5108
696,"던킨도너츠 햄에그 잉글리쉬 머핀 (냉동), 108g, 4개",11600,13
697,"하림 에어프라이어 소이갈릭윙 (냉동), 800g, 1개",13520,108
698,"오레오 오즈 시리얼, 500g, 1개",6420,18485
699,"맥심 화이트 골드 커피믹스, 11.7g, 160개",15950,20068
700,"마이셰프 중화풍 양장피, 600g, 1개",12900,1059
701,"설성목장 무항생제 한우 1+등급 채끝 스테이크 (냉장), 200g, 1개",31000,217
702,"삼립 밀크후레쉬팡, 560g, 1개",6390,938
703,"하림 텐더스틱 (냉동), 1000g, 1개",10250,4799
704,"상하목장 유기농인증 베이비 사과당근 85g, 4개입",2400,1240
705,"프렌치카페 카페오레 커피음료, 200ml, 10개",7830,3096
706,"동원 양반 들기름 도시락김, 5g, 24개입",6330,23623
707,"영덕시금치, 300g, 1봉",2340,2140
708,"자몽, 2kg(6~7과 내외), 1봉",11500,193
709,"YAAM(얌)! 트러플 불고기 치아바타 (냉동), 145g, 2개",7900,51
710,"발재반점 짜장면 (냉동), 380g, 1개",3650,1939
711,"서울우유 멸균우유 1000ML, 10개입",17360,109140
712,"곰곰 한입 LA 갈비 (냉동), 500g, 1개",10740,69
713,"곰곰 치즈스틱 (냉동), 1kg, 1개",10870,1365
714,"횡성한우 1등급 국거리용 (냉장), 300g, 1개",17400,1506
715,"곰곰 잡채볶음밥 (냉동), 300g, 6개",12450,193
716,"포스트 그래놀라 크랜베리 아몬드 시리얼, 570g, 1개",5380,9381
717,"곰곰 국내산 깐 햇양파, 1kg, 1개",4990,191
718,"맑은물에 참좋은 국산 흑임자 콩물, 1L, 2개",11000,355
719,"GAP 인증 케일, 1봉",1080,913
720,"진주햄 천하장사 오리지날 소시지, 15g, 66개입",8340,107
721,"친환경인증 적상추, 200g, 1봉",1650,3412
722,"곰곰 진한 국물용 디포리해물 다시팩, 540g, 1개",13610,3230
723,"아인슈타인 남양유업 맛있는우유GT 아이슈타인 베이비, 180ml, 24개",15900,21335
724,"곰곰 고소한 풍미 가득한 버터, 450g, 1개",6830,227
725,"곰곰 오징어다리, 700g, 1개",12210,705
726,"나뚜루 스트로베리 아이스크림 (냉동), 474ml, 1개",5250,130
727,"돈마루 한돈 앞다리 찌개용 (냉장), 500g, 1개",7280,4175
728,"베베당 유기농 쌀과자 스틱 3종세트, 현미, 고구마, 치즈당근, 1세트",6900,1733
729,"포카리스웨트, 900ml, 20개",25440,321
730,"켈로그 통귀리 그래놀라, 500g, 1개",4860,1336
731,"곰곰 한돈 1등급 갈비찜용 (냉장), 600g, 1개",7990,50
732,"제스프리 점보 썬골드키위, 124~134g, 8개",11900,562
733,"핸디엄 냉장 콜드브루 커피원액 케냐, 500ml, 1개",9900,747
734,"스타벅스 싱글 오리진 콜롬비아 캡슐커피, 5.5g, 12개",7900,608
735,"서풍 손질 왕 갈치 (냉동), 700g, 1개",15490,913
736,"유기농인증 추부깻잎 + 적상추, 1봉",2000,268
737,"얼라이브 원스데일리 포 우먼 멀티 비타민, 60정, 1개",19490,2783
738,"통영멍게, 260g, 1개",9980,278
739,"소이퀸 진한콩물, 500ml, 2개",10780,837
740,"웰프레쉬 파인애플청크 (냉동), 1kg, 2개",12980,592
741,"오뚜기 열라면 120g, 5개",2470,7156
742,"오뚜기 진라면 매운맛 멀티팩 120g, 40개",17310,73417
743,"마니커에프앤지 닭다리후라이드치킨 (냉동), 1kg, 1개",10730,3185
744,"풍요한아침 에그타르트 (냉동), 540g, 1개",12890,1665
745,"덕복희여사 쌍팔년도 떡볶이 옛날맛 (냉동), 560g, 3개",12630,3716
746,"CJ제일제당 오리엔탈 드레싱, 620g, 1개",4900,2064
747,"친환경인증 깻잎, 100g, 1봉",2410,2606
748,"컬리플라워라이스 (냉동), 340g, 2개",10200,411
749,"곰곰 한돈 뒷다리 다짐육 (냉장), 400g, 1개",5990,88
750,"곰곰 대패삼겹 볶음밥 (냉동), 300g, 6개",12290,331
751,"곰곰 훈제 프랑크 닭가슴살 소시지 (냉동), 120g, 6개",10240,900
752,"오뚜기 진라면 순한맛 120g, 5개",2510,6211
753,"YAAM(얌)! 멕시칸 치킨 치아바타 (냉동), 145g, 2개",7900,49
754,"곰곰 고소한 무가당 플레인 두유, 190ml, 24개",10210,1396
755,"마이셰프 찹스테이크, 593g, 1개",12900,321
756,"비타할로 수분가득 히알루론산, 56캡슐, 1개",9180,1472
757,"켈로그 크랜베리 아몬드 그래놀라, 550g, 1개",5830,175
758,"교동 사골우거지국, 500g, 5개입",13500,108
759,"곰곰 양념 칼집 목살 (냉장), 1kg, 1개",12400,180
760,"덴마크 짜지않는 치즈 오리지널, 252g, 1개",3660,1449
761,"삼양 불닭소스, 200g, 1개",3350,2414
762,"에버콜라겐 유브이케어 에이스, 84정, 1개",29080,397
763,"미니로메인, 1봉",2480,160
764,"동물복지 인증 하림 greeners 닭 볶음탕용 (냉장), 1000g, 1팩",7650,2743
765,"켈로그 스페셜K 오리지널 시리얼, 480g, 1개",4850,6330
766,"오뚜기 리얼 멕시칸 브리또 페페로니트리플치즈 (냉동), 375g, 1개",6800,305
767,"롯데제과 찰떡아이스 (냉동), 90ml, 24입",15800,1167
768,"키즈웰 젤리 스트로우, 19.3g, 60개입",7740,36
769,"프레시픽 완숙 토마토, 5kg(특), 1박스",14800,1029
770,"한양식품 꽃보다 오징어, 400g, 1개",25760,707
771,"보닐라아라비스타 감자칩, 275g, 1개",17900,53
772,"친환경인증 감자 + 당근 + 양파, 1.2kg, 1봉",5900,672
773,"반찬단지 오징어젓, 1kg, 1개",7030,7334
774,"헐리우드 48시간 클렌즈주스, 947ml, 1개",18920,11348
775,"친환경인증 브로컬리 2개, 400g, 1봉",4000,876
